"ResponseId","state","juris","species","dur","timechange","field","career","agency","surveyYear","minCareer","idk","CC","duration.cent","career.cent"
"R_72Fajt8sVMFqNIB","Massachusetts","Single site","Elaeagnus",1,"At the same time due to no change in phenology","Invasive plant management ","","Nongovernmental Organization",2025,0.1,1,0,-1.21033371337704,-2.47428361270634
"R_7q9CGoR98EHdtT8","Wisconsin","Single site","Elaeagnus",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0283163273366078,0.77590345940614
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Elaeagnus",2,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-1.07899844826143,0.77590345940614
"R_1WY82cNkvl3SfQt","Massachusetts"," Other (please specify)","Elaeagnus",9,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","City/Municipal Government",2025,6,1,0,-0.159651592452211,-0.537303438417083
"R_61GkUO5dWwqhCjj","Wisconsin","Network of sites within one state/province","Elaeagnus",NA,"At the same time due to no change in phenology","Invasive plant management ","10+ years","County Government",2025,10,1,0,NA,0.77590345940614
"R_6MSEK2WWyiJXX8f","Vermont","Network of sites within one state/province","Elaeagnus",15,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.628359998241409,0.77590345940614
"R_5P00Gb4S2nU4OfA","Ohio","Network of sites within one state/province","Elaeagnus",10,"Earlier or later for other reasons","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-0.0283163273366078,0.77590345940614
"R_6dEOH3nQWsRf2ff","Tennessee","Multi-state network of sites","Elaeagnus",10,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-0.0283163273366078,0.77590345940614
"R_6ForFLcNvl9Gfip","Maine","Network of sites within one state/province","impatiens",1,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","State Government",2025,2,1,0,-1.21033371337704,-1.85051033624031
"R_7V2SFyLI4BgpYkG","Ontario"," Other (please specify)","impatiens",3,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-0.947663183145831,0.77590345940614
"R_62Pxg5v9Zs16RJA","Ontario","Network of sites within one state/province","impatiens",33,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,2.99239477032227,0.77590345940614
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","impatiens",5,"Earlier due to changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,-0.684992652914624,0.77590345940614
"R_6WYgJBttCwwhXSp","New York","Network of sites within one state/province","Lonicera",16,"At the same time due to no change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,0,0.759695263357012,0.77590345940614
"R_6ForFLcNvl9Gfip","Maine","Network of sites within one state/province","Lonicera",4,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","State Government",2025,2,1,0,-0.816327918030227,-1.85051033624031
"R_5R23jr6FuDmhief","Massachusetts","Single site","Lonicera",8,"Earlier due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.290986857567814,0.77590345940614
"R_7ezzjbfl2jdcxDx","Vermont","Network of sites within one state/province","Lonicera",25,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,1.94171264939744,0.77590345940614
"R_3XrXjwaVmvGXoOJ","Maryland","Network of sites within one state/province","Lonicera",20,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,1.28503632381942,0.77590345940614
"R_62Pxg5v9Zs16RJA","Ontario","Network of sites within one state/province","Lonicera",33,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,2.99239477032227,0.77590345940614
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Lonicera",NA,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.77590345940614
"R_6t3t8fBbiQDgW3d","Maryland","Network of sites within one state/province","Lonicera",NA,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.537303438417083
"R_3dKb9I322MuEgFz","Maine","Single site","Lonicera",5,"At the same time due to no change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,0,-0.684992652914624,0.77590345940614
"R_73eVhyZmS8L43ik","Maine","Network of sites within one state/province","Lonicera",NA,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Tribal/First Nation",2025,6,1,1,NA,-0.537303438417083
"R_5UWrqrzzclD8FIu","Vermont","Multi-state network of sites","Lonicera",NA,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Industry/Private Sector",2025,6,1,0,NA,-0.537303438417083
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Lonicera",6,"Earlier or later for other reasons","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.553657387799021,-0.537303438417083
"R_5BQkPPSouGpr2Hg","Massachusetts","Multi-state network of sites","Lonicera",NA,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,NA,0.77590345940614
"R_3lIwOYVE6uiBLFL","Missouri","Network of sites within one state/province","Lonicera",5,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.684992652914624,-0.537303438417083
"R_5iL3nUBoeV7F8Kx","Minnesota","Network of sites within one state/province","Lonicera",20,"At the same time due to no change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,0,1.28503632381942,0.77590345940614
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Lonicera",20,"Later due to changing phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,1,1.28503632381942,-1.85051033624031
"R_5E71fWz3IruQgh6","Ohio","Network of sites within one state/province","Lonicera",NA,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","10+ years","County Government",2025,10,1,1,NA,0.77590345940614
"R_6otqeEqxavLiZSY","New York","Single site","Lonicera",8,"Earlier due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.290986857567814,0.77590345940614
"R_30JFe2RxkYRhFAk","Michigan","Network of sites within one state/province","Lonicera",20,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,1.28503632381942,0.77590345940614
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Lonicera",12,"At the same time despite changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.234354202894599,0.77590345940614
"R_7LZIwVNGpe3KgTI","Wisconsin","Network of sites within one state/province","Lonicera",5,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-0.684992652914624,-1.85051033624031
"R_6CfNNocJljlizu5","Michigan","Network of sites within one state/province","Lonicera",17,"At the same time due to no change in phenology","Invasive plant management ","10+ years"," Federal Government",2025,10,1,0,0.891030528472615,0.77590345940614
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Lonicera",5,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.684992652914624,-0.537303438417083
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Lonicera",9,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.159651592452211,-0.537303438417083
"R_1HgGpL6ACrpRv4l","West Virginia","Multi-state network of sites","Lonicera",15,"Earlier due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,0.628359998241409,0.77590345940614
"R_51b9eoP3TpoI1sr","Missouri"," Other (please specify)","Lonicera",4,"At the same time despite changing phenology","Invasive plant management ","2 to 5 years"," Federal Government",2025,2,1,1,-0.816327918030227,-1.85051033624031
"R_3E7cWMnIfvk6plg","Missouri","Network of sites within one state/province","Lonicera",5,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Other",2025,10,1,0,-0.684992652914624,0.77590345940614
"R_5tyNGdytbIadKk9","Indiana","Network of sites within one state/province","Lonicera",5,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,1,-0.684992652914624,-1.85051033624031
"R_5QMdxsTPIB3Ml3K","Maryland","Network of sites within one state/province","Lonicera",4,"At the same time due to no change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,0,-0.816327918030227,0.77590345940614
"R_537x22NmHs7hBVW","New York"," Other (please specify)","Lonicera",9,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,0,-0.159651592452211,-0.537303438417083
"R_6QOOH4tKwngrOHn","Michigan","Network of sites within one state/province","Lonicera",10,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-0.0283163273366078,-1.85051033624031
"R_5pmY8oLxe5MTq3z","Missouri","Single site","Lonicera",15,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,0.628359998241409,0.77590345940614
"R_1JL9iDUjnpJZLQR","New York","Network of sites within one state/province","Lonicera",NA,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,0,NA,-0.537303438417083
"R_5I6qNXdl1mckd0K","Michigan","Network of sites within one state/province","Lonicera",10,"Earlier or later for other reasons","Invasive plant management ","10+ years","State Government",2025,10,1,0,-0.0283163273366078,0.77590345940614
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Lonicera",5,"Later due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.684992652914624,-1.85051033624031
"R_1wGepviiEawT7xG","Pennsylvania"," Other (please specify)","Lonicera",30,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,2.59838897497546,0.77590345940614
"R_1gXD9kt66uL5qNb","Massachusetts","Network of sites within one state/province","Lonicera",10,"Earlier or later for other reasons","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-0.0283163273366078,0.77590345940614
"R_5FL0Dh9GY67xaof","Massachusetts","Single site","Lonicera",40,"At the same time due to no change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,0,3.91174162613149,0.77590345940614
"R_7GCx4T0QvASYfS2","Massachusetts","Network of sites within one state/province","Lonicera",25,"Earlier or later for other reasons","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,1.94171264939744,0.77590345940614
"R_1rUYrs3htQ2RlNg","Massachusetts","Network of sites within one state/province","Lonicera",NA,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,NA,0.77590345940614
"R_1EiGIcVTKZ2CXkf","Maryland","Single site","Lonicera",10,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.0283163273366078,-0.537303438417083
"R_5oaOcorb0tWwDku","Maine","Network of sites within one state/province","Lonicera",5,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.684992652914624,-0.537303438417083
"R_5B5a3B4ABmQZKnh","Missouri","Single site","Lonicera",20,"Earlier or later for other reasons","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,1.28503632381942,0.77590345940614
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Lonicera",15,"At the same time despite changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.628359998241409,0.77590345940614
"R_7q3sEFKcJH3jV4h","North Carolina","Multi-state network of sites","Lonicera",10,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.0283163273366078,-0.537303438417083
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Lonicera",6,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.553657387799021,-0.537303438417083
"R_6zI4045OheCWxD4","New York","Multi-state network of sites","Lonicera",20,"At the same time due to no change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,0,1.28503632381942,0.77590345940614
"R_7916UIaOGbhT1AV","Indiana","Network of sites within one state/province","Lonicera",4.75,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","2 to 5 years","County Government",2025,2,1,1,-0.717826469193525,-1.85051033624031
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Lonicera",10,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Other",2025,10,1,0,-0.0283163273366078,0.77590345940614
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Lonicera",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0283163273366078,0.77590345940614
"R_3ccJaCdsXnlVJg6","Minnesota","Single site","Lonicera",30,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","10+ years","Academia/University",2025,10,1,1,2.59838897497546,0.77590345940614
"R_6LM4zc5bR7utrq6","Wisconsin","Multi-state network of sites","Lonicera",20,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,1.28503632381942,0.77590345940614
"R_6xnYQypkLxxXJct","Michigan","Multi-state network of sites","Lonicera",12,"Earlier or later for other reasons","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,0.234354202894599,0.77590345940614
"R_5cCxuqU3LPDqcRW","Wisconsin","Network of sites within one state/province","Lonicera",9,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-0.159651592452211,-1.85051033624031
"R_3yNv77ves0EseE9","Massachusetts"," Other (please specify)","Lonicera",2,"Earlier or later for other reasons,At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","City/Municipal Government",2025,2,1,0,-1.07899844826143,-1.85051033624031
"R_6bkD5LQEewba1fb","New York","Network of sites within one state/province","Lonicera",11,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,0.103018937778995,-0.537303438417083
"R_7q9CGoR98EHdtT8","Wisconsin","Single site","Lonicera",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0283163273366078,0.77590345940614
"R_3oKFNE7EJdtd7QR","Wisconsin","Network of sites within one state/province","Lonicera",20,"At the same time due to no change in phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","Industry/Private Sector",2025,10,1,0,1.28503632381942,0.77590345940614
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Lonicera",10,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0283163273366078,-0.537303438417083
"R_52slHOREy0viarS","Virginia","Network of sites within one state/province","Lonicera",4,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","City/Municipal Government",2025,2,1,0,-0.816327918030227,-1.85051033624031
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Lonicera",5,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.684992652914624,0.77590345940614
"R_61GkUO5dWwqhCjj","Wisconsin","Network of sites within one state/province","Lonicera",8,"At the same time due to no change in phenology","Invasive plant management ","10+ years","County Government",2025,10,1,0,-0.290986857567814,0.77590345940614
"R_3XCIHNhh88dMl1L","Massachusetts","Network of sites within one state/province","Lonicera",1,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-1.21033371337704,-1.85051033624031
"R_6MSEK2WWyiJXX8f","Vermont","Network of sites within one state/province","Lonicera",20,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,1.28503632381942,0.77590345940614
"R_5P00Gb4S2nU4OfA","Ohio","Network of sites within one state/province","Lonicera",10,"Earlier or later for other reasons","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-0.0283163273366078,0.77590345940614
"R_6dEOH3nQWsRf2ff","Tennessee","Multi-state network of sites","Lonicera",5,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-0.684992652914624,0.77590345940614
"R_5R23jr6FuDmhief","Massachusetts","Single site","Miscanthus",4,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-0.816327918030227,0.77590345940614
"R_3XrXjwaVmvGXoOJ","Maryland","Network of sites within one state/province","Miscanthus",5,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,-0.684992652914624,0.77590345940614
"R_6t3t8fBbiQDgW3d","Maryland","Network of sites within one state/province","Miscanthus",NA,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.537303438417083
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Miscanthus",2,"Earlier or later for other reasons","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-1.07899844826143,-0.537303438417083
"R_5pmY8oLxe5MTq3z","Missouri","Single site","Miscanthus",5,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-0.684992652914624,0.77590345940614
"R_5B5a3B4ABmQZKnh","Missouri","Single site","Miscanthus",9,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.159651592452211,0.77590345940614
"R_7q3sEFKcJH3jV4h","North Carolina","Multi-state network of sites","Miscanthus",10,"Earlier or later for other reasons","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.0283163273366078,-0.537303438417083
"R_5P00Gb4S2nU4OfA","Ohio","Network of sites within one state/province","Miscanthus",5,"Earlier or later for other reasons","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-0.684992652914624,0.77590345940614
"R_6WYgJBttCwwhXSp","New York","Network of sites within one state/province","Rosa",16,"At the same time due to no change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,0,0.759695263357012,0.77590345940614
"R_6ForFLcNvl9Gfip","Maine","Network of sites within one state/province","Rosa",3,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","State Government",2025,2,1,0,-0.947663183145831,-1.85051033624031
"R_7ezzjbfl2jdcxDx","Vermont","Network of sites within one state/province","Rosa",25,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,1.94171264939744,0.77590345940614
"R_62Pxg5v9Zs16RJA","Ontario","Network of sites within one state/province","Rosa",33,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,2.99239477032227,0.77590345940614
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Rosa",NA,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.77590345940614
"R_6t3t8fBbiQDgW3d","Maryland","Network of sites within one state/province","Rosa",NA,"Later due to changing phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.537303438417083
"R_3dKb9I322MuEgFz","Maine","Single site","Rosa",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.0283163273366078,0.77590345940614
"R_73eVhyZmS8L43ik","Maine","Network of sites within one state/province","Rosa",NA,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Tribal/First Nation",2025,6,1,1,NA,-0.537303438417083
"R_5UWrqrzzclD8FIu","Vermont","Multi-state network of sites","Rosa",NA,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Industry/Private Sector",2025,6,1,0,NA,-0.537303438417083
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Rosa",6,"Earlier or later for other reasons","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.553657387799021,-0.537303438417083
"R_5BQkPPSouGpr2Hg","Massachusetts","Multi-state network of sites","Rosa",NA,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,NA,0.77590345940614
"R_3lIwOYVE6uiBLFL","Missouri","Network of sites within one state/province","Rosa",6,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.553657387799021,-0.537303438417083
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Rosa",20,"Earlier due to changing phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,1,1.28503632381942,-1.85051033624031
"R_30JFe2RxkYRhFAk","Michigan","Network of sites within one state/province","Rosa",20,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,1.28503632381942,0.77590345940614
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Rosa",12,"At the same time despite changing phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.234354202894599,0.77590345940614
"R_7LZIwVNGpe3KgTI","Wisconsin","Network of sites within one state/province","Rosa",5,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-0.684992652914624,-1.85051033624031
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Rosa",5,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.684992652914624,-0.537303438417083
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Rosa",9,"Later due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.159651592452211,-0.537303438417083
"R_1HgGpL6ACrpRv4l","West Virginia","Multi-state network of sites","Rosa",15,"Earlier due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,0.628359998241409,0.77590345940614
"R_51b9eoP3TpoI1sr","Missouri"," Other (please specify)","Rosa",10,"At the same time despite changing phenology","Invasive plant management ","2 to 5 years"," Federal Government",2025,2,1,1,-0.0283163273366078,-1.85051033624031
"R_3E7cWMnIfvk6plg","Missouri","Network of sites within one state/province","Rosa",20,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Other",2025,10,1,0,1.28503632381942,0.77590345940614
"R_5tyNGdytbIadKk9","Indiana","Network of sites within one state/province","Rosa",5,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,1,-0.684992652914624,-1.85051033624031
"R_537x22NmHs7hBVW","New York"," Other (please specify)","Rosa",9,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,0,-0.159651592452211,-0.537303438417083
"R_6QOOH4tKwngrOHn","Michigan","Network of sites within one state/province","Rosa",5,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-0.684992652914624,-1.85051033624031
"R_5pmY8oLxe5MTq3z","Missouri","Single site","Rosa",9,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-0.159651592452211,0.77590345940614
"R_5I6qNXdl1mckd0K","Michigan","Network of sites within one state/province","Rosa",10,"Earlier or later for other reasons","Invasive plant management ","10+ years","State Government",2025,10,1,0,-0.0283163273366078,0.77590345940614
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Rosa",5,"Later due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.684992652914624,-1.85051033624031
"R_1wGepviiEawT7xG","Pennsylvania"," Other (please specify)","Rosa",30,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,2.59838897497546,0.77590345940614
"R_1gXD9kt66uL5qNb","Massachusetts","Network of sites within one state/province","Rosa",10,"Earlier or later for other reasons","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,-0.0283163273366078,0.77590345940614
"R_5FL0Dh9GY67xaof","Massachusetts","Single site","Rosa",40,"At the same time due to no change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,0,3.91174162613149,0.77590345940614
"R_7GCx4T0QvASYfS2","Massachusetts","Network of sites within one state/province","Rosa",25,"Earlier or later for other reasons","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,1.94171264939744,0.77590345940614
"R_1rUYrs3htQ2RlNg","Massachusetts","Network of sites within one state/province","Rosa",NA,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,0,NA,0.77590345940614
"R_5GqXqu4hfRGN4Y4","Virginia","Network of sites within one state/province","Rosa",5,"At the same time despite changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.684992652914624,-0.537303438417083
"R_1EiGIcVTKZ2CXkf","Maryland","Single site","Rosa",10,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.0283163273366078,-0.537303438417083
"R_7Vru9EQVgndVy1V","North Carolina","Network of sites within one state/province","Rosa",30,"At the same time due to no change in phenology","Invasive plant management ","6 to 10 years","County Government",2025,6,1,0,2.59838897497546,-0.537303438417083
"R_5oaOcorb0tWwDku","Maine","Network of sites within one state/province","Rosa",6,"Earlier due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.553657387799021,-0.537303438417083
"R_5B5a3B4ABmQZKnh","Missouri","Single site","Rosa",20,"At the same time despite changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,1.28503632381942,0.77590345940614
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Rosa",15,"At the same time despite changing phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.628359998241409,0.77590345940614
"R_7q3sEFKcJH3jV4h","North Carolina","Multi-state network of sites","Rosa",10,"Earlier or later for other reasons","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,0,-0.0283163273366078,-0.537303438417083
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Rosa",3,"Earlier due to changing phenology,Later due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.947663183145831,-0.537303438417083
"R_6zI4045OheCWxD4","New York","Multi-state network of sites","Rosa",20,"At the same time due to no change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,0,1.28503632381942,0.77590345940614
"R_7916UIaOGbhT1AV","Indiana","Network of sites within one state/province","Rosa",4.75,"Later due to changing phenology","Invasive plant management ","2 to 5 years","County Government",2025,2,1,1,-0.717826469193525,-1.85051033624031
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Rosa",16,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Other",2025,10,1,0,0.759695263357012,0.77590345940614
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Rosa",10,"At the same time despite changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0283163273366078,0.77590345940614
"R_30xjQCBmlmzdGhK","Michigan","Network of sites within one state/province","Rosa",9,"At the same time due to no change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,0,-0.159651592452211,0.77590345940614
"R_6LM4zc5bR7utrq6","Wisconsin","Multi-state network of sites","Rosa",10,"At the same time due to no change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,0,-0.0283163273366078,0.77590345940614
"R_5cCxuqU3LPDqcRW","Wisconsin","Network of sites within one state/province","Rosa",9,"At the same time due to no change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2025,2,1,0,-0.159651592452211,-1.85051033624031
