"ResponseId","state","juris","species","dur","freqchange","field","career","agency","surveyYear","minCareer","idk","CC","duration.cent","career.cent","management_shift"
"R_30JFe2RxkYRhFAk","Michigan","Network of sites within one state/province","Lonicera",20,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,1.26979353187963,0.79049810961295,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Lonicera",12,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.22382158781276,0.79049810961295,0
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Lonicera",9,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.168417891212316,-0.515142477920408,1
"R_51b9eoP3TpoI1sr","Missouri"," Other (please specify)","Lonicera",4,"At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years"," Federal Government",2025,2,1,1,-0.822150356254108,-1.82078306545377,0
"R_1JL9iDUjnpJZLQR","New York","Network of sites within one state/province","Lonicera",NA,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","State Government",2025,6,1,1,NA,-0.515142477920408,0
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Lonicera",5,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.691403863245749,-1.82078306545377,1
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Lonicera",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.616061066837835,0.79049810961295,0
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Lonicera",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1
"R_7916UIaOGbhT1AV","Indiana","Network of sites within one state/province","Lonicera",4.75,"At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years","County Government",2025,2,1,1,-0.724090486497839,-1.82078306545377,0
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Lonicera",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Other",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Lonicera",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_3oKFNE7EJdtd7QR","Wisconsin","Network of sites within one state/province","Lonicera",20,"More frequently due to changing phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","Industry/Private Sector",2025,10,1,1,1.26979353187963,0.79049810961295,1
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Lonicera",10,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0376713982039572,-0.515142477920408,0
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Lonicera",5,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.691403863245749,0.79049810961295,0
"R_3U5fotg9fbz2uIA","Maine","Network of sites within one state/province","Lonicera",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.616061066837835,0.79049810961295,0
"R_6dEOH3nQWsRf2ff","Tennessee","Multi-state network of sites","Lonicera",5,"More frequently due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.691403863245749,0.79049810961295,1
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Miscanthus",2,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.08364334227082,-0.515142477920408,1
"R_7q3sEFKcJH3jV4h","North Carolina","Multi-state network of sites","Miscanthus",10,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.0376713982039572,-0.515142477920408,1
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Miscanthus",5,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.691403863245749,-0.515142477920408,0
"R_5ywqK8B333ZmZQ5","Massachusetts","Network of sites within one state/province","Rosa",NA,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,NA,0.79049810961295,0
"R_3dKb9I322MuEgFz","Maine","Single site","Rosa",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_73eVhyZmS8L43ik","Maine","Network of sites within one state/province","Rosa",NA,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Tribal/First Nation",2025,6,1,1,NA,-0.515142477920408,0
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Rosa",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1
"R_3zHHEZE9YczuVki","Indiana"," Other (please specify)","Rosa",20,"Less frequently due to changing phenology","Invasive plant management ","2 to 5 years","Other",2025,2,1,1,1.26979353187963,-1.82078306545377,1
"R_1LgxvH8g74WcAal","New York","Network of sites within one state/province","Rosa",20,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,1.26979353187963,0.79049810961295,0
"R_30JFe2RxkYRhFAk","Michigan","Network of sites within one state/province","Rosa",20,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,1.26979353187963,0.79049810961295,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Rosa",12,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.22382158781276,0.79049810961295,0
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Rosa",9,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.168417891212316,-0.515142477920408,1
"R_51b9eoP3TpoI1sr","Missouri"," Other (please specify)","Rosa",10,"At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years"," Federal Government",2025,2,1,1,-0.0376713982039572,-1.82078306545377,0
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Rosa",5,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.691403863245749,-1.82078306545377,1
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Rosa",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.616061066837835,0.79049810961295,0
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Rosa",3,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.952896849262466,-0.515142477920408,1
"R_7916UIaOGbhT1AV","Indiana","Network of sites within one state/province","Rosa",4.75,"At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years","County Government",2025,2,1,1,-0.724090486497839,-1.82078306545377,0
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Rosa",16,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Other",2025,10,1,1,0.746807559846193,0.79049810961295,0
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Rosa",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Rosa",10,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0376713982039572,-0.515142477920408,0
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Rosa",5,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.691403863245749,0.79049810961295,0
"R_3U5fotg9fbz2uIA","Maine","Network of sites within one state/province","Rosa",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.616061066837835,0.79049810961295,0
"R_3dKb9I322MuEgFz","Maine","Single site","Acer",5,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.691403863245749,0.79049810961295,0
"R_1LgxvH8g74WcAal","New York","Network of sites within one state/province","Acer",20,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,1.26979353187963,0.79049810961295,0
"R_6otqeEqxavLiZSY","New York","Single site","Acer",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.616061066837835,0.79049810961295,0
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Acer",10,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0376713982039572,-0.515142477920408,0
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Acer",3,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.952896849262466,0.79049810961295,0
"R_3U5fotg9fbz2uIA","Maine","Network of sites within one state/province","Acer",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.616061066837835,0.79049810961295,0
"R_1HSUmXBNOowEz38","Michigan","Single site","Centaurea",2,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.08364334227082,-0.515142477920408,0
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Centaurea",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1
"R_3lIwOYVE6uiBLFL","Missouri","Network of sites within one state/province","Centaurea",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Centaurea",18,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,1.00830054586291,0.79049810961295,0
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Centaurea",5,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.691403863245749,-0.515142477920408,1
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Centaurea",5,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.691403863245749,-1.82078306545377,1
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Centaurea",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_3ccJaCdsXnlVJg6","Minnesota","Single site","Centaurea",6,"At the same frequency due to no change in phenology,At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Academia/University",2025,10,1,1,-0.560657370237391,0.79049810961295,0
"R_3U5fotg9fbz2uIA","Maine","Network of sites within one state/province","Centaurea",5,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.691403863245749,0.79049810961295,0
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Ailanthis",2,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.08364334227082,-0.515142477920408,1
"R_1LgxvH8g74WcAal","New York","Network of sites within one state/province","Ailanthis",16,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.746807559846193,0.79049810961295,0
"R_6otqeEqxavLiZSY","New York","Single site","Ailanthis",3,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.952896849262466,0.79049810961295,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Ailanthis",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.616061066837835,0.79049810961295,0
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Ailanthis",9,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.168417891212316,-0.515142477920408,1
"R_51b9eoP3TpoI1sr","Missouri"," Other (please specify)","Ailanthis",20,"At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years"," Federal Government",2025,2,1,1,1.26979353187963,-1.82078306545377,0
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Ailanthis",5,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.691403863245749,0.79049810961295,0
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Ailanthis",3,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.952896849262466,-0.515142477920408,1
"R_7916UIaOGbhT1AV","Indiana","Network of sites within one state/province","Ailanthis",4.75,"At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years","County Government",2025,2,1,1,-0.724090486497839,-1.82078306545377,0
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Ailanthis",3,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Other",2025,10,1,1,-0.952896849262466,0.79049810961295,0
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Ailanthis",10,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0376713982039572,-0.515142477920408,0
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Ailanthis",3,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.952896849262466,0.79049810961295,0
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Pastinaca",4,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.822150356254108,-0.515142477920408,1
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Pastinaca",12,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.22382158781276,0.79049810961295,0
"R_7OoxW9EzfNxUWpb","Massachusetts","Single site","Pastinaca",5,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.691403863245749,-0.515142477920408,1
"R_7eyioy07o8xNtFD","Wisconsin","Multi-state network of sites","Pastinaca",5,"More frequently due to changing phenology","Invasive plant management ","2 to 5 years","Industry/Private Sector",2025,2,1,1,-0.691403863245749,-1.82078306545377,1
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Pastinaca",3,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Other",2025,10,1,1,-0.952896849262466,0.79049810961295,0
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Pastinaca",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_3ccJaCdsXnlVJg6","Minnesota","Single site","Pastinaca",30,"More or less frequently for other reasons,At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Academia/University",2025,10,1,1,2.57725846196321,0.79049810961295,0
"R_6xnYQypkLxxXJct","Michigan","Multi-state network of sites","Pastinaca",11,"More frequently due to changing phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,0.0930750948044013,0.79049810961295,1
"R_7q9CGoR98EHdtT8","Wisconsin","Single site","Pastinaca",10,"Less frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0376713982039572,0.79049810961295,1
"R_3oKFNE7EJdtd7QR","Wisconsin","Network of sites within one state/province","Pastinaca",5,"Less frequently due to changing phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","Industry/Private Sector",2025,10,1,1,-0.691403863245749,0.79049810961295,1
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Pastinaca",10,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0376713982039572,-0.515142477920408,0
"R_3dKb9I322MuEgFz","Maine","Single site","Ligustrum",4,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,-0.822150356254108,0.79049810961295,0
"R_5JIsRlFQz08hfmF","Massachusetts","Single site","Ligustrum",6,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-0.560657370237391,-0.515142477920408,1
"R_6otqeEqxavLiZSY","New York","Single site","Ligustrum",6,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2025,10,1,1,-0.560657370237391,0.79049810961295,0
"R_7iTaBPxUwzHaGg9","Michigan","Network of sites within one state/province","Ligustrum",12,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","State Government",2025,10,1,1,0.22382158781276,0.79049810961295,0
"R_3GKeTuOGsGrWsBx","Michigan","Single site","Ligustrum",9,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Academia/University",2025,6,1,1,-0.168417891212316,-0.515142477920408,1
"R_51b9eoP3TpoI1sr","Missouri"," Other (please specify)","Ligustrum",20,"At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years"," Federal Government",2025,2,1,1,1.26979353187963,-1.82078306545377,0
"R_1EhS8EtoQX5KeVO","Virginia"," Other (please specify)","Ligustrum",15,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2025,10,1,1,0.616061066837835,0.79049810961295,0
"R_3f2NE46NtdzB3GN","Missouri","Multi-state network of sites","Ligustrum",2,"More frequently due to changing phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2025,6,1,1,-1.08364334227082,-0.515142477920408,1
"R_7916UIaOGbhT1AV","Indiana","Network of sites within one state/province","Ligustrum",4.75,"At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years","County Government",2025,2,1,1,-0.724090486497839,-1.82078306545377,0
"R_3BXy7lTi8qCQ0cF","Indiana"," Other (please specify)","Ligustrum",16,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Other",2025,10,1,1,0.746807559846193,0.79049810961295,0
"R_4DdacjI5qhmJw0t","Vermont","Multi-state network of sites","Ligustrum",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_7CIWuckyx3sjsAs","Ontario"," Other (please specify)","Ligustrum",10,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Other",2025,6,1,1,-0.0376713982039572,-0.515142477920408,0
"R_7zisJUcklmC59IQ","Massachusetts"," Other (please specify)","Ligustrum",2,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2025,10,1,1,-1.08364334227082,0.79049810961295,0
"R_7qkAjat39MtPBoG","Massachusetts","Network of sites within one state/province","Celastrus",25,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years"," Federal Government",2026,10,1,1,1.92352599692142,0.79049810961295,0
"R_6PgMN2Ont2gs1u9","Vermont","Network of sites within one state/province","Celastrus",8,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,-0.299164384220674,0.79049810961295,0
"R_3OZoTtXsYc0ZVCo","Michigan","Network of sites within one state/province","Celastrus",20,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","State Government",2026,10,1,1,1.26979353187963,0.79049810961295,0
"R_7EvlQO9OfQ8OoER","Michigan","Network of sites within one state/province","Celastrus",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2026,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_5GB0QBBYaO426fP","Maine","Single site","Celastrus",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2026,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_6b7y38YC6VhzhAZ","New Jersey"," Other (please specify)","Celastrus",5,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","County Government",2026,6,1,1,-0.691403863245749,-0.515142477920408,0
"R_3Qxjb9i4NVkgesX","Massachusetts","Network of sites within one state/province","Celastrus",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2026,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_3Ed8zccgOdxwidw","Massachusetts","Network of sites within one state/province","Celastrus",NA,"At the same frequency despite a change in phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","City/Municipal Government",2026,10,1,1,NA,0.79049810961295,0
"R_5H6Li12o7rFfCKo","Rhode Island","Network of sites within one state/province","Celastrus",10,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,-0.0376713982039572,0.79049810961295,1
"R_5rdlHlOy7XfBCJX","Rhode Island","Network of sites within one state/province","Celastrus",5,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","State Government",2026,6,1,1,-0.691403863245749,-0.515142477920408,0
"R_3Z0oewLXyyqJj9v","Virginia","Multi-state network of sites","Celastrus",6,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2026,10,1,1,-0.560657370237391,0.79049810961295,0
"R_1rqNLxE1UVT5Prc","Massachusetts","Single site","Celastrus",3,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2026,10,1,1,-0.952896849262466,0.79049810961295,0
"R_7eqSNbi6mQ46E1Z","Virginia","Multi-state network of sites","Celastrus",20,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,1.26979353187963,0.79049810961295,1
"R_3lpMOKMac0cgCvT","Massachusetts","Network of sites within one state/province","Celastrus",3,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,-0.952896849262466,0.79049810961295,0
"R_5O9uAodgBqlcrtL","Massachusetts","Network of sites within one state/province","Celastrus",1,"At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2026,2,1,1,-1.21438983527918,-1.82078306545377,0
"R_6lGDmKoRK5yHshi","Maine","Single site","Celastrus",20,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years"," Federal Government",2026,10,1,1,1.26979353187963,0.79049810961295,0
"R_6Q75yjxK5fIfXwZ","Maryland","Network of sites within one state/province","Celastrus",5,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","County Government",2026,10,1,1,-0.691403863245749,0.79049810961295,0
"R_1IvpUjUVXHoOlPW","Vermont","Single site","Celastrus",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2026,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_3mwJdcOf68mSU8i","Ohio"," Other (please specify)","Celastrus",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2026,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_6RfvvrSVaZFoLRH","Virginia","Network of sites within one state/province","Celastrus",12,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2026,10,1,1,0.22382158781276,0.79049810961295,0
"R_3Si9tax1RwMIZLT","Massachusetts","Multi-state network of sites","Celastrus",9,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,-0.168417891212316,0.79049810961295,0
"R_1flgE1bOQDY1J2D","Maine","Single site","Celastrus",3,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Other",2026,6,1,1,-0.952896849262466,-0.515142477920408,0
"R_7qkAjat39MtPBoG","Massachusetts","Network of sites within one state/province","Lonicera",25,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years"," Federal Government",2026,10,1,1,1.92352599692142,0.79049810961295,0
"R_6PgMN2Ont2gs1u9","Vermont","Network of sites within one state/province","Lonicera",14,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,0.485314573829477,0.79049810961295,0
"R_3OZoTtXsYc0ZVCo","Michigan","Network of sites within one state/province","Lonicera",20,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","State Government",2026,10,1,1,1.26979353187963,0.79049810961295,0
"R_7EvlQO9OfQ8OoER","Michigan","Network of sites within one state/province","Lonicera",20,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2026,10,1,1,1.26979353187963,0.79049810961295,0
"R_5IQt3joF5gjoi45","Kentucky","Network of sites within one state/province","Lonicera",1,"At the same frequency despite a change in phenology","Invasive plant management ","Less than 2 years","State Government",2026,0.1,1,1,-1.21438983527918,-2.44096234453211,0
"R_3Qxjb9i4NVkgesX","Massachusetts","Network of sites within one state/province","Lonicera",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2026,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_3Ed8zccgOdxwidw","Massachusetts","Network of sites within one state/province","Lonicera",NA,"At the same frequency despite a change in phenology","Other (I work with invasive plants but not as a manager, researcher, or extension)","10+ years","City/Municipal Government",2026,10,1,1,NA,0.79049810961295,0
"R_5H6Li12o7rFfCKo","Rhode Island","Network of sites within one state/province","Lonicera",6,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,-0.560657370237391,0.79049810961295,0
"R_5rdlHlOy7XfBCJX","Rhode Island","Network of sites within one state/province","Lonicera",5,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","State Government",2026,6,1,1,-0.691403863245749,-0.515142477920408,0
"R_3Z0oewLXyyqJj9v","Virginia","Multi-state network of sites","Lonicera",6,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2026,10,1,1,-0.560657370237391,0.79049810961295,0
"R_6M9cNcffDgSe0XJ","Massachusetts","Single site","Lonicera",5,"At the same frequency despite a change in phenology","Invasive plant management ","6 to 10 years","Nongovernmental Organization",2026,6,1,1,-0.691403863245749,-0.515142477920408,0
"R_1rqNLxE1UVT5Prc","Massachusetts","Single site","Lonicera",3,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Nongovernmental Organization",2026,10,1,1,-0.952896849262466,0.79049810961295,0
"R_7eqSNbi6mQ46E1Z","Virginia","Multi-state network of sites","Lonicera",20,"More frequently due to changing phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,1.26979353187963,0.79049810961295,1
"R_3lpMOKMac0cgCvT","Massachusetts","Network of sites within one state/province","Lonicera",3,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","Industry/Private Sector",2026,10,1,1,-0.952896849262466,0.79049810961295,0
"R_5O9uAodgBqlcrtL","Massachusetts","Network of sites within one state/province","Lonicera",1,"At the same frequency despite a change in phenology","Invasive plant management ","2 to 5 years","Nongovernmental Organization",2026,2,1,1,-1.21438983527918,-1.82078306545377,0
"R_7IvjAhNgByZUh4p","Michigan","Network of sites within one state/province","Lonicera",10,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","City/Municipal Government",2026,10,1,1,-0.0376713982039572,0.79049810961295,0
"R_6Q75yjxK5fIfXwZ","Maryland","Network of sites within one state/province","Lonicera",5,"At the same frequency despite a change in phenology","Invasive plant management ","10+ years","County Government",2026,10,1,1,-0.691403863245749,0.79049810961295,0
